Url_path,Title,Desc
https://www2.hm.com/en_us/productpage.1182750002.html,MAMA Muslin Shorts,Shorts in airy cotton muslin. Covered elastic at waistband and wide jersey waist panel for improved fit.
https://www2.hm.com/en_us/productpage.1187865001.html,Flounce-trimmed Wrap Dress,"Calf-length dress in woven fabric with a wrapover front. Adjustable, extra-narrow shoulder straps, low-cut V-neck with a concealed hook-and-eye fastener, and a wide tie belt at waist. Wide flounce at hem. Unlined."
https://www2.hm.com/en_us/productpage.1031523001.html,2-pack Bike Shorts,Bike shorts in soft cotton jersey. Regular waist and concealed elastic at waistband.
https://www2.hm.com/en_us/productpage.1182654001.html,Fringe-trimmed Satin Wrap Dress,"Short dress in softly draped satin with long fringe at hem. V-neck, wrapover front with wide ties at one side, and an elasticized seam at back of waist. Heavily dropped shoulders and long sleeves with slit and button at cuffs. Unlined."
https://www2.hm.com/en_us/productpage.1172123001.html,Puff-sleeved Dress,"Short dress in woven cotton fabric with linen content. Square neckline, gathered seam at center of bust, fitted bodice, and short puff sleeves. Partially open back with a smocked section and narrow ties that cross, lace through small loops, and tie at back. Concealed zipper at one side and a gently flared skirt. Partly lined."
https://www2.hm.com/en_us/productpage.1155353001.html,Rectangular Sunglasses,"Rectangular sunglasses with lenses, frames, and sidepieces in plastic. Tinted, UV-protective lenses."
https://www2.hm.com/en_us/productpage.1168970002.html,Halterneck Thong Bodysuit,Halterneck thong bodysuit in soft jersey. Draped crossover sections at front to fasten at back of neck with covered buttons. Concealed snap fasteners at gusset. Lined at top.
https://www2.hm.com/en_us/productpage.1176804001.html,Off-the-shoulder Dress,"Short, off-the-shoulder dress in a woven viscose blend. Elasticized smocking below bust and at waist, short puff sleeves, and narrow, ruffle-trimmed elastic at upper edge and at cuffs. Unlined."
https://www2.hm.com/en_us/productpage.1031513007.html,2-pack Crop Tube Tops,Crop tube tops in double layers of soft cotton jersey.
https://www2.hm.com/en_us/productpage.1141810011.html,Fitted T-shirt,Fitted T-shirt in soft cotton jersey. Ribbed neckline and a straight-cut hem.
